title,authors,published,url
Privacy-preserving Crowd-guided AI Decision-making in Ethical Dilemmas,"['Teng Wang', 'Jun Zhao', 'Han Yu', 'Jinyan Liu', 'Xinyu Yang', 'Xuebin Ren', 'Shuyu Shi']",2019-06-04T16:27:47Z,https://arxiv.org/abs/1906.01562v2
Fair Classification via Unconstrained Optimization,['Ibrahim Alabdulmohsin'],2020-05-21T11:29:05Z,https://arxiv.org/abs/2005.14621v1
Unlucky Explorer: A Complete non-Overlapping Map Exploration,"['Mohammad Sina Kiarostami', 'Saleh Khalaj Monfared', 'Mohammadreza Daneshvaramoli', 'Ali Oliayi', 'Negar Yousefian', 'Dara Rahmati', 'Saeid Gorgin']",2020-05-28T17:19:24Z,https://arxiv.org/abs/2005.14156v1
Algorithm Selection Framework for Cyber Attack Detection,"['Marc Chalé', 'Nathaniel D. Bastian', 'Jeffery Weir']",2020-05-28T18:49:29Z,https://arxiv.org/abs/2005.14230v1
Efficient AutoML Pipeline Search with Matrix and Tensor Factorization,"['Chengrun Yang', 'Jicong Fan', 'Ziyang Wu', 'Madeleine Udell']",2020-06-07T18:08:48Z,https://arxiv.org/abs/2006.04216v1
Randomized Policy Learning for Continuous State and Action MDPs,"['Hiteshi Sharma', 'Rahul Jain']",2020-06-08T02:49:47Z,https://arxiv.org/abs/2006.04331v2
An ASP approach for reasoning in a concept-aware multipreferential lightweight DL,"['Laura Giordano', 'Daniele Theseider Dupré']",2020-06-08T07:15:38Z,https://arxiv.org/abs/2006.04387v2
CAST: A Correlation-based Adaptive Spectral Clustering Algorithm on Multi-scale Data,"['Xiang Li', 'Ben Kao', 'Caihua Shan', 'Dawei Yin', 'Martin Ester']",2020-06-08T09:46:35Z,https://arxiv.org/abs/2006.04435v1
Learning under Invariable Bayesian Safety,"['Gal Bahar', 'Omer Ben-Porat', 'Kevin Leyton-Brown', 'Moshe Tennenholtz']",2020-06-08T12:07:59Z,https://arxiv.org/abs/2006.04497v1
Policy-focused Agent-based Modeling using RL Behavioral Models,"['Osonde A. Osoba', 'Raffaele Vardavas', 'Justin Grana', 'Rushil Zutshi', 'Amber Jaycocks']",2020-06-09T04:55:07Z,https://arxiv.org/abs/2006.05048v3
Supervised Whole DAG Causal Discovery,"['Hebi Li', 'Qi Xiao', 'Jin Tian']",2020-06-08T15:53:20Z,https://arxiv.org/abs/2006.04697v1
CycleGT: Unsupervised Graph-to-Text and Text-to-Graph Generation via Cycle Training,"['Qipeng Guo', 'Zhijing Jin', 'Xipeng Qiu', 'Weinan Zhang', 'David Wipf', 'Zheng Zhang']",2020-06-08T15:59:00Z,https://arxiv.org/abs/2006.04702v3
Principles to Practices for Responsible AI: Closing the Gap,"['Daniel Schiff', 'Bogdana Rakova', 'Aladdin Ayesh', 'Anat Fanti', 'Michael Lennon']",2020-06-08T16:04:44Z,https://arxiv.org/abs/2006.04707v1
Mathematical Reasoning via Self-supervised Skip-tree Training,"['Markus N. Rabe', 'Dennis Lee', 'Kshitij Bansal', 'Christian Szegedy']",2020-06-08T17:12:08Z,https://arxiv.org/abs/2006.04757v3
Reinforcement Learning for Multi-Product Multi-Node Inventory Management in Supply Chains,"['Nazneen N Sultana', 'Hardik Meisheri', 'Vinita Baniwal', 'Somjit Nath', 'Balaraman Ravindran', 'Harshad Khadilkar']",2020-06-07T04:02:59Z,https://arxiv.org/abs/2006.04037v1
An Empirical Meta-analysis of the Life Sciences (Linked?) Open Data on the Web,"['Maulik R. Kamdar', 'Mark A. Musen']",2020-06-07T14:26:32Z,https://arxiv.org/abs/2006.04161v1
DeepFair: Deep Learning for Improving Fairness in Recommender Systems,"['Jesús Bobadilla', 'Raúl Lara-Cabrera', 'Ángel González-Prieto', 'Fernando Ortega']",2020-06-09T13:39:38Z,https://arxiv.org/abs/2006.05255v1
Towards United Reasoning for Automatic Induction in Isabelle/HOL,['Yutaka Nagashima'],2020-05-25T08:30:05Z,https://arxiv.org/abs/2005.12737v1
BHN: A Brain-like Heterogeneous Network,['Tao Liu'],2020-05-26T16:02:38Z,https://arxiv.org/abs/2005.12826v2
Applying Evolutionary Metaheuristics for Parameter Estimation of Individual-Based Models,"['Antonio Prestes García', 'Alfonso Rodríguez-Patón']",2020-05-24T07:48:27Z,https://arxiv.org/abs/2005.12841v1
GoChat: Goal-oriented Chatbots with Hierarchical Reinforcement Learning,"['Jianfeng Liu', 'Feiyang Pan', 'Ling Luo']",2020-05-24T12:14:19Z,https://arxiv.org/abs/2005.11729v2
"Breiman's ""Two Cultures"" Revisited and Reconciled","['Subhadeep', 'Mukhopadhyay', 'Kaijun Wang']",2020-05-27T19:02:56Z,https://arxiv.org/abs/2005.13596v1
Opportunistic Multi-aspect Fairness through Personalized Re-ranking,"['Nasim Sonboli', 'Farzad Eskandanian', 'Robin Burke', 'Weiwen Liu', 'Bamshad Mobasher']",2020-05-21T04:25:20Z,https://arxiv.org/abs/2005.12974v1
Learning LWF Chain Graphs: an Order Independent Algorithm,"['Mohammad Ali Javidian', 'Marco Valtorta', 'Pooyan Jamshidi']",2020-05-27T01:05:49Z,https://arxiv.org/abs/2005.14037v1
Chat as Expected: Learning to Manipulate Black-box Neural Dialogue Models,"['Haochen Liu', 'Zhiwei Wang', 'Tyler Derr', 'Jiliang Tang']",2020-05-27T05:34:12Z,https://arxiv.org/abs/2005.13170v1
Beware the evolving 'intelligent' web service! An integration architecture tactic to guard AI-first components,"['Alex Cummaudo', 'Scott Barnett', 'Rajesh Vasa', 'John Grundy', 'Mohamed Abdelrazek']",2020-05-27T06:15:18Z,https://arxiv.org/abs/2005.13186v1
From Probability to Consilience: How Explanatory Values Implement Bayesian Reasoning,"['Zachary Wojtowicz', 'Simon DeDeo']",2020-06-03T16:11:45Z,https://arxiv.org/abs/2006.02359v1
Fairness-Aware Explainable Recommendation over Knowledge Graphs,"['Zuohui Fu', 'Yikun Xian', 'Ruoyuan Gao', 'Jieyu Zhao', 'Qiaoying Huang', 'Yingqiang Ge', 'Shuyuan Xu', 'Shijie Geng', 'Chirag Shah', 'Yongfeng Zhang', 'Gerard de Melo']",2020-06-03T05:04:38Z,https://arxiv.org/abs/2006.02046v2
An ExpTime Upper Bound for $\mathcal{ALC}$ with Integers (Extended Version),"['Nadia Labai', 'Magdalena Ortiz', 'Mantas Šimkus']",2020-06-03T07:28:39Z,https://arxiv.org/abs/2006.02078v1
A Mixed Initiative Semantic Web Framework for Process Composition,"['Jinghai Rao', 'Dimitar Dimitrov', 'Paul Hofmann', 'Norman Sadeh']",2020-06-03T11:02:31Z,https://arxiv.org/abs/2006.02168v1
A novel approach for multi-agent cooperative pursuit to capture grouped evaders,"['Muhammad Zuhair Qadir', 'Songhao Piao', 'Haiyang Jiang', 'Mohammed El Habib Souidi']",2020-06-01T15:39:58Z,https://arxiv.org/abs/2006.01022v2
Invariant Policy Optimization: Towards Stronger Generalization in Reinforcement Learning,"['Anoopkumar Sonar', 'Vincent Pacelli', 'Anirudha Majumdar']",2020-06-01T17:28:19Z,https://arxiv.org/abs/2006.01096v3
Revisiting Bounded-Suboptimal Safe Interval Path Planning,"['Konstantin Yakovlev', 'Anton Andreychuk', 'Roni Stern']",2020-06-01T18:42:52Z,https://arxiv.org/abs/2006.01195v1
Coordinating Multiagent Industrial Symbiosis,"['Vahid Yazdanpanah', 'Devrim Murat Yazan', 'W. Henk M. Zijm']",2020-06-02T17:05:43Z,https://arxiv.org/abs/2006.01784v1
Towards Ranking-based Semantics for Abstract Argumentation using Conditional Logic Semantics,"['Kenneth Skiba', 'Matthias Thimm']",2020-08-05T08:34:16Z,https://arxiv.org/abs/2008.02735v1
EasyRL: A Simple and Extensible Reinforcement Learning Framework,"['Neil Hulbert', 'Sam Spillers', 'Brandon Francis', 'James Haines-Temons', 'Ken Gil Romero', 'Benjamin De Jager', 'Sam Wong', 'Kevin Flora', 'Bowei Huang', 'Athirai A. Irissappane']",2020-08-04T17:02:56Z,https://arxiv.org/abs/2008.01700v2
The Emergence of Adversarial Communication in Multi-Agent Reinforcement Learning,"['Jan Blumenkamp', 'Amanda Prorok']",2020-08-06T12:48:08Z,https://arxiv.org/abs/2008.02616v2
Deep Reinforcement Learning for Tactile Robotics: Learning to Type on a Braille Keyboard,"['Alex Church', 'John Lloyd', 'Raia Hadsell', 'Nathan F. Lepora']",2020-08-06T13:29:05Z,https://arxiv.org/abs/2008.02646v1
eclingo: A solver for Epistemic Logic Programs,"['Pedro Cabalar', 'Jorge Fandinno', 'Javier Garea', 'Javier Romero', 'Torsten Schaub']",2020-08-05T09:32:05Z,https://arxiv.org/abs/2008.02018v1
Axiom-based Grad-CAM: Towards Accurate Visualization and Explanation of CNNs,"['Ruigang Fu', 'Qingyong Hu', 'Xiaohu Dong', 'Yulan Guo', 'Yinghui Gao', 'Biao Li']",2020-08-05T18:42:33Z,https://arxiv.org/abs/2008.02312v4
COVID-19 in differential diagnosis of online symptom assessments,"['Anitha Kannan', 'Richard Chen', 'Vignesh Venkataraman', 'Geoffrey J. Tso', 'Xavier Amatriain']",2020-08-07T18:10:42Z,https://arxiv.org/abs/2008.03323v3
Wikidata Constraints on MARS (Extended Technical Report),"['David L. Martin', 'Peter F. Patel-Schneider']",2020-08-10T04:49:02Z,https://arxiv.org/abs/2008.03900v2
Purely Bayesian counterfactuals versus Newcomb's paradox,['Lê Nguyên Hoang'],2020-08-10T16:56:48Z,https://arxiv.org/abs/2008.04256v1
Fault-Tolerant Control of Degrading Systems with On-Policy Reinforcement Learning,"['Ibrahim Ahmed', 'Marcos Quiñones-Grueiro', 'Gautam Biswas']",2020-08-10T20:42:59Z,https://arxiv.org/abs/2008.04407v1
SMT-based Safety Verification of Parameterised Multi-Agent Systems,"['Paolo Felli', 'Alessandro Gianola', 'Marco Montali']",2020-08-11T15:24:05Z,https://arxiv.org/abs/2008.04774v2
Learning abstract structure for drawing by efficient motor program induction,"['Lucas Y. Tian', 'Kevin Ellis', 'Marta Kryven', 'Joshua B. Tenenbaum']",2020-08-08T13:31:14Z,https://arxiv.org/abs/2008.03519v1
Distributed Deep Reinforcement Learning for Functional Split Control in Energy Harvesting Virtualized Small Cells,"['Dagnachew Azene Temesgene', 'Marco Miozzo', 'Deniz Gündüz', 'Paolo Dini']",2020-08-07T12:27:01Z,https://arxiv.org/abs/2008.04105v1
Proof-Carrying Plans: a Resource Logic for AI Planning,"['Alasdair Hill', 'Ekaterina Komendantskaya', 'Ronald P. A. Petrick']",2020-08-10T14:45:52Z,https://arxiv.org/abs/2008.04165v2
